,Image Paths,pores,fibers,resin,undefined,sumcheck,Tanda
0,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--03.jpg,5.662422839506172,50.493393132716044,41.99561149691358,1.8485725308641974,100.0,Tubos 2025 (cercana a la final)
1,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--12.jpg,2.6644483024691357,56.736304012345684,37.81481481481481,2.7844328703703702,100.0,Tubos 2025 (cercana a la final)
2,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--07.jpg,4.713445216049383,49.41430362654321,43.74715470679013,2.125096450617284,100.0,Tubos 2025 (cercana a la final)
3,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--13.jpg,0.0024112654320987653,38.64453125,60.94073109567901,0.4123263888888889,100.0,Tubos 2025 (cercana a la final)
4,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--11.jpg,2.009982638888889,52.405237268518526,43.34312307098765,2.2416570216049383,100.0,Tubos 2025 (cercana a la final)
5,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--08.jpg,2.7584394290123457,56.33926504629629,39.665027006172835,1.2372685185185184,100.0,Tubos 2025 (cercana a la final)
6,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--06.jpg,1.5001929012345678,57.79065393518519,38.962287808641975,1.7468653549382718,100.0,Tubos 2025 (cercana a la final)
7,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--02.jpg,3.05859375,51.47511574074074,44.33415316358025,1.1321373456790125,100.0,Tubos 2025 (cercana a la final)
8,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--05.jpg,4.729456018518519,55.84042245370371,37.298225308641975,2.131896219135802,100.0,Tubos 2025 (cercana a la final)
9,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--09.jpg,1.2911844135802468,62.37827932098765,35.13368055555556,1.1968557098765433,100.0,Tubos 2025 (cercana a la final)
10,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--04.jpg,3.5644772376543212,56.18923611111111,38.02695794753087,2.2193287037037037,100.0,Tubos 2025 (cercana a la final)
11,/content/drive/MyDrive/Micrografía Tubo F2 4 4 2025/Experiment-820--01.jpg,0.5734471450617283,67.54841820987654,30.462770061728396,1.4153645833333335,100.0,Tubos 2025 (cercana a la final)
