,Image Paths,pores,fibers,resin,undefined,sumcheck,Tanda
0,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--02.jpg,3.820505401234568,29.307002314814817,50.458333333333336,16.41415895061728,100.0,Tubos 2025 (similar a version 2026)
1,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--16.jpg,7.7408371913580245,45.96489197530864,38.84847608024691,7.445794753086419,100.0,Tubos 2025 (similar a version 2026)
2,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--14.jpg,11.336467978395062,28.045572916666668,50.9462287808642,9.671730324074074,100.0,Tubos 2025 (similar a version 2026)
3,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--15.jpg,6.883294753086419,27.198350694444446,50.62890625000001,15.289448302469136,100.0,Tubos 2025 (similar a version 2026)
4,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--12.jpg,4.581066743827161,21.271556712962962,53.821421682098766,20.32595486111111,100.0,Tubos 2025 (similar a version 2026)
5,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--11.jpg,6.807870370370369,23.464747299382715,54.86125578703703,14.866126543209877,100.0,Tubos 2025 (similar a version 2026)
6,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--10.jpg,5.426793981481481,24.911410108024693,48.19550540123457,21.46629050925926,100.0,Tubos 2025 (similar a version 2026)
7,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--09.jpg,5.025028935185185,23.659239969135804,52.7676986882716,18.54803240740741,100.0,Tubos 2025 (similar a version 2026)
8,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--06.jpg,5.8463059413580245,11.128375771604938,59.90509259259259,23.120225694444443,100.0,Tubos 2025 (similar a version 2026)
9,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--07.jpg,10.042100694444445,12.411072530864198,56.15234375,21.394483024691358,100.0,Tubos 2025 (similar a version 2026)
10,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--05.jpg,7.794270833333333,10.57277199074074,57.875144675925924,23.7578125,100.0,Tubos 2025 (similar a version 2026)
11,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--08.jpg,6.131847993827161,11.978443287037036,58.74527391975308,23.144434799382715,100.0,Tubos 2025 (similar a version 2026)
12,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--04.jpg,7.860869984567902,12.580198688271604,59.25139853395061,20.307532793209877,100.0,Tubos 2025 (similar a version 2026)
13,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--01.jpg,0.0,15.920283564814817,71.3644386574074,12.715277777777779,100.0,Tubos 2025 (similar a version 2026)
14,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--03.jpg,4.5573398919753085,11.371720679012345,62.68518518518519,21.385754243827158,100.0,Tubos 2025 (similar a version 2026)
15,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--20.jpg,8.502507716049383,46.69386574074074,38.95722415123456,5.8464023919753085,100.0,Tubos 2025 (similar a version 2026)
16,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--21.jpg,11.04050925925926,44.01003086419753,40.849006558641975,4.100453317901234,100.0,Tubos 2025 (similar a version 2026)
17,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--23.jpg,7.098813657407407,40.91261574074074,42.84852430555556,9.140046296296296,100.0,Tubos 2025 (similar a version 2026)
18,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--24.jpg,0.0,20.857108410493826,68.65244020061728,10.49045138888889,100.0,Tubos 2025 (similar a version 2026)
19,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--25.jpg,0.0,23.49189814814815,66.09582368827161,10.412278163580247,100.0,Tubos 2025 (similar a version 2026)
20,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--26.jpg,0.0,19.044560185185187,69.80189043209877,11.153549382716049,100.0,Tubos 2025 (similar a version 2026)
21,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--27.jpg,0.0,15.386574074074074,72.62914737654322,11.984278549382717,100.0,Tubos 2025 (similar a version 2026)
22,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--17.jpg,6.132233796296297,46.38777970679012,38.83516589506173,8.644820601851851,100.0,Tubos 2025 (similar a version 2026)
23,/content/drive/MyDrive/Micrografía PR2 02 2025/Experiment-1126--19.jpg,4.670138888888889,51.03288966049383,38.72101658950618,5.575954861111112,100.0,Tubos 2025 (similar a version 2026)
