,Image Paths,pores,fibers,resin,undefined,sumcheck,Tanda
0,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-872.jpg,7.981626157407408,11.468364197530864,76.30849729938272,4.241512345679013,100.0,Aletas 1
1,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-873.jpg,8.116898148148149,48.704282407407405,40.764081790123456,2.4147376543209877,100.0,Aletas 1
2,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-874.jpg,21.3828125,51.52961033950617,24.885609567901234,2.2019675925925926,100.0,Aletas 1
3,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-878.jpg,9.922743055555555,7.209201388888889,76.24320023148148,6.6248553240740735,100.0,Aletas 1
4,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-879.jpg,9.658371913580247,9.103202160493828,74.87528935185185,6.363136574074074,100.0,Aletas 1
5,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-880.jpg,21.896846064814817,10.071132330246915,62.70881558641975,5.323206018518518,100.0,Aletas 1
6,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-881.jpg,18.910686728395063,7.80835262345679,67.50168788580247,5.779272762345679,100.0,Aletas 1
7,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-884.jpg,19.29571759259259,61.37307098765432,16.902006172839506,2.4292052469135803,100.0,Aletas 1
8,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-885.jpg,75.08801118827161,2.3229166666666665,18.481385030864196,4.107687114197531,100.0,Aletas 1
9,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-886.jpg,19.58902391975309,58.73099922839506,20.08174189814815,1.5982349537037037,100.0,Aletas 1
10,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-887.jpg,71.4131462191358,2.4872685185185186,23.543836805555557,2.5557484567901234,100.0,Aletas 1
11,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-888.jpg,23.61646412037037,38.04480131172839,35.38305362654321,2.9556809413580245,100.0,Aletas 1
12,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-889.jpg,11.250144675925926,35.24233217592593,49.13122106481482,4.376302083333333,100.0,Aletas 1
13,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-890.jpg,19.027440200617285,61.49054783950617,15.469425154320987,4.012586805555555,100.0,Aletas 1
14,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-891.jpg,64.44169560185186,6.714168595679013,25.39887152777778,3.445264274691358,100.0,Aletas 1
15,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-892.jpg,8.223234953703704,23.40528549382716,67.45543981481481,0.916039737654321,100.0,Aletas 1
16,/content/drive/MyDrive/Micrografía Aletas FC 15 4 2025/Experiment-893.jpg,8.472849151234568,36.28621720679012,54.63676697530864,0.6041666666666666,100.0,Aletas 1
